date,time,close,low,sma,entry_signal,exit_signal,account_price,account_balance,position_value,total_value,profit_loss,cumulative_return,drawdown,active_trades
2023-01-10,2023-01-10,17440.66,17146.34,16928.798000000003,1,0,17440.66,7000.0,2999.7,9999.7,-0.3,-0.0,0.0,1.0
2023-01-11,2023-01-11,17943.26,17315.6,17061.449,1,0,17943.26,4900.0,5185.93,10085.93,85.93,0.86,0.0,2.0
2023-01-12,2023-01-12,18846.62,17892.05,17278.824,1,0,18846.62,3430.0,6916.88,10346.88,346.88,3.47,0.0,3.0
2023-01-13,2023-01-13,19930.01,18714.12,17604.307000000004,1,0,19930.01,2401.0,8343.39,10744.39,744.39,7.44,0.0,4.0
2023-01-14,2023-01-14,20954.92,19888.05,18014.763,1,0,20954.92,1680.7,9492.68,11173.38,1173.38,11.73,0.0,5.0
2023-01-15,2023-01-15,20871.5,20551.01,18418.728,1,0,20871.5,1176.49,9959.05,11135.54,1135.54,11.36,0.34,6.0
2023-01-16,2023-01-16,21185.65,20611.48,18842.228,1,0,21185.65,823.54,10461.86,11285.4,1285.4,12.85,0.0,7.0
2023-01-17,2023-01-17,21134.81,20841.31,19261.352,1,0,21134.81,576.48,10683.79,11260.27,1260.27,12.6,0.22,8.0
2023-01-18,2023-01-18,20677.47,20407.15,19616.316,1,0,20677.47,403.54,10625.53,11029.06,1029.06,10.29,2.27,9.0
2023-01-19,2023-01-19,21071.59,20659.19,20005.648999999998,1,0,21071.59,282.48,10949.1,11231.58,1231.58,12.32,0.48,10.0
2023-01-20,2023-01-20,22667.21,20861.28,20528.303999999996,1,0,22667.21,282.48,11778.21,12060.69,2060.69,20.61,0.0,10.0
2023-01-21,2023-01-21,22783.55,22422.0,21012.332999999995,1,0,22783.55,282.48,11838.66,12121.14,2121.14,21.21,0.0,10.0
2023-01-22,2023-01-22,22707.88,22292.37,21398.458999999995,1,0,22707.88,282.48,11799.34,12081.82,2081.82,20.82,0.32,10.0
2023-01-23,2023-01-23,22916.45,22500.0,21697.102999999996,1,0,22916.45,282.48,11907.72,12190.2,2190.2,21.9,0.0,10.0
2023-01-24,2023-01-24,22632.89,22462.93,21864.9,1,0,22632.89,282.48,11760.38,12042.85,2042.85,20.43,1.21,10.0
2023-01-25,2023-01-25,23060.94,22300.0,22083.844,1,0,23060.94,282.48,11982.8,12265.27,2265.27,22.65,0.0,10.0
2023-01-26,2023-01-26,23009.65,22850.01,22266.244,1,0,23009.65,282.48,11956.15,12238.62,2238.62,22.39,0.22,10.0
2023-01-27,2023-01-27,23074.16,22534.88,22460.179,1,0,23074.16,282.48,11989.67,12272.14,2272.14,22.72,0.0,10.0
