Date,Price,Balance,Position Value,Total Value,Profit/Loss,Cumulative Return (%),Drawdown (%),Active Trades
2023-01-10 00:00:00,17440.66,7000.00,2999.70,9999.70,-0.30,-0.00,0.00,1
2023-01-11 00:00:00,17943.26,4900.00,5185.93,10085.93,85.93,0.86,0.00,2
2023-01-12 00:00:00,18846.62,3430.00,6916.88,10346.88,346.88,3.47,0.00,3
2023-01-13 00:00:00,19930.01,2401.00,8343.39,10744.39,744.39,7.44,0.00,4
2023-01-14 00:00:00,20954.92,1680.70,9492.68,11173.38,1173.38,11.73,0.00,5
2023-01-15 00:00:00,20871.50,1176.49,9959.05,11135.54,1135.54,11.36,0.34,6
2023-01-16 00:00:00,21185.65,823.54,10461.86,11285.40,1285.40,12.85,0.00,7
2023-01-17 00:00:00,21134.81,576.48,10683.79,11260.27,1260.27,12.60,0.22,8
2023-01-18 00:00:00,20677.47,403.54,10625.53,11029.06,1029.06,10.29,2.27,9
2023-01-19 00:00:00,21071.59,282.48,10949.10,11231.58,1231.58,12.32,0.48,10
2023-01-20 00:00:00,22667.21,282.48,11778.21,12060.69,2060.69,20.61,0.00,10
2023-01-21 00:00:00,22783.55,282.48,11838.66,12121.14,2121.14,21.21,0.00,10
2023-01-22 00:00:00,22707.88,282.48,11799.34,12081.82,2081.82,20.82,0.32,10
2023-01-23 00:00:00,22916.45,282.48,11907.72,12190.20,2190.20,21.90,0.00,10
2023-01-24 00:00:00,22632.89,282.48,11760.38,12042.85,2042.85,20.43,1.21,10
2023-01-25 00:00:00,23060.94,282.48,11982.80,12265.27,2265.27,22.65,0.00,10
2023-01-26 00:00:00,23009.65,282.48,11956.15,12238.62,2238.62,22.39,0.22,10
2023-01-27 00:00:00,23074.16,282.48,11989.67,12272.14,2272.14,22.72,0.00,10
2023-01-28 00:00:00,23022.60,282.48,11962.88,12245.35,2245.35,22.45,0.22,10
2023-01-29 00:00:00,23742.30,282.48,12336.84,12619.32,2619.32,26.19,0.00,10
2023-01-30 00:00:00,22826.15,12142.09,0.00,12142.09,2142.09,21.42,3.78,0
2023-01-31 00:00:00,23125.13,8499.46,3642.26,12141.72,2141.72,21.42,3.78,1
2023-02-01 00:00:00,23732.66,5949.62,6287.53,12237.16,2237.16,22.37,3.03,2
2023-02-02 00:00:00,23488.94,4164.74,8007.67,12172.41,2172.41,21.72,3.54,3
2023-02-03 00:00:00,23431.90,2915.32,9237.52,12152.84,2152.84,21.53,3.70,4
2023-02-04 00:00:00,23326.84,2040.72,10070.61,12111.33,2111.33,21.11,4.03,5
2023-02-05 00:00:00,22932.91,11940.28,0.00,11940.28,1940.28,19.40,5.38,0
2023-02-06 00:00:00,22762.52,11940.28,0.00,11940.28,1940.28,19.40,5.38,0
2023-02-07 00:00:00,23240.46,11940.28,0.00,11940.28,1940.28,19.40,5.38,0
